 INFO  Accepting connections at http://localhost:3000
 HTTP  1/20/2026 10:03:37 AM ::1 GET /
 HTTP  1/20/2026 10:03:37 AM ::1 Returned 200 in 22 ms
 HTTP  1/20/2026 10:03:37 AM ::1 GET /assets/index-C_yVZ5GU.js
 HTTP  1/20/2026 10:03:37 AM ::1 GET /assets/index-C4tKQLKA.css
 HTTP  1/20/2026 10:03:37 AM ::1 Returned 200 in 5 ms
 HTTP  1/20/2026 10:03:37 AM ::1 Returned 200 in 9 ms
 HTTP  1/20/2026 10:04:10 AM ::1 GET /
 HTTP  1/20/2026 10:04:10 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 10:04:10 AM ::1 GET /assets/index-C_yVZ5GU.js
 HTTP  1/20/2026 10:04:10 AM ::1 GET /assets/index-C4tKQLKA.css
 HTTP  1/20/2026 10:04:10 AM ::1 Returned 200 in 3 ms
 HTTP  1/20/2026 10:04:10 AM ::1 Returned 200 in 3 ms
 HTTP  1/20/2026 10:08:55 AM ::1 GET /
 HTTP  1/20/2026 10:08:55 AM ::1 Returned 200 in 10 ms
 HTTP  1/20/2026 10:08:55 AM ::1 GET /assets/index-I9bLToXC.js
 HTTP  1/20/2026 10:08:55 AM ::1 GET /assets/index-C1UJW7H4.css
 HTTP  1/20/2026 10:08:55 AM ::1 Returned 200 in 6 ms
 HTTP  1/20/2026 10:08:55 AM ::1 Returned 200 in 16 ms
 HTTP  1/20/2026 10:12:14 AM ::1 GET /
 HTTP  1/20/2026 10:12:14 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 10:12:14 AM ::1 GET /assets/index-I9bLToXC.js
 HTTP  1/20/2026 10:12:14 AM ::1 GET /assets/index-C1UJW7H4.css
 HTTP  1/20/2026 10:12:14 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 10:12:14 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 10:12:16 AM ::1 GET /
 HTTP  1/20/2026 10:12:16 AM ::1 Returned 200 in 1 ms
 HTTP  1/20/2026 10:12:16 AM ::1 GET /assets/index-I9bLToXC.js
 HTTP  1/20/2026 10:12:16 AM ::1 GET /assets/index-C1UJW7H4.css
 HTTP  1/20/2026 10:12:16 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 10:12:16 AM ::1 Returned 200 in 7 ms
